"filename", "language", "TypeScript", "JavaScript", "JSON", "XML", "JSON with Comments", "PostCSS", "Ignore", "comment", "blank", "total"
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/anthropic.spec.ts", "TypeScript", 615, 0, 0, 0, 0, 0, 0, 46, 85, 746
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/base-openai-compatible-provider-timeout.spec.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 4, 25, 120
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/base-openai-compatible-provider.spec.ts", "TypeScript", 485, 0, 0, 0, 0, 0, 0, 12, 52, 549
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/base-provider.spec.ts", "TypeScript", 229, 0, 0, 0, 0, 0, 0, 6, 49, 284
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-custom-arn.spec.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 38, 42, 255
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-error-handling.spec.ts", "TypeScript", 442, 0, 0, 0, 0, 0, 0, 36, 83, 561
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-inference-profiles.spec.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 16, 45, 300
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-invokedModelId.spec.ts", "TypeScript", 263, 0, 0, 0, 0, 0, 0, 47, 41, 351
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-native-tools.spec.ts", "TypeScript", 495, 0, 0, 0, 0, 0, 0, 28, 88, 611
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-reasoning.spec.ts", "TypeScript", 267, 0, 0, 0, 0, 0, 0, 20, 45, 332
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock-vpc-endpoint.spec.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 27, 23, 190
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/bedrock.spec.ts", "TypeScript", 985, 0, 0, 0, 0, 0, 0, 82, 197, 1264
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/cerebras.spec.ts", "TypeScript", 190, 0, 0, 0, 0, 0, 0, 23, 37, 250
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/chutes.spec.ts", "TypeScript", 285, 0, 0, 0, 0, 0, 0, 14, 38, 337
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/claude-code-caching.spec.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 9, 28, 170
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/claude-code.spec.ts", "TypeScript", 445, 0, 0, 0, 0, 0, 0, 41, 121, 607
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/constants.spec.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 4, 14, 61
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/deepinfra.spec.ts", "TypeScript", 337, 0, 0, 0, 0, 0, 0, 4, 46, 387
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/deepseek.spec.ts", "TypeScript", 414, 0, 0, 0, 0, 0, 0, 28, 56, 498
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/featherless.spec.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 0, 8, 36, 260
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/fireworks.spec.ts", "TypeScript", 531, 0, 0, 0, 0, 0, 0, 6, 58, 595
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/gemini-handler.spec.ts", "TypeScript", 241, 0, 0, 0, 0, 0, 0, 24, 34, 299
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/gemini.spec.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 28, 57, 324
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/groq.spec.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 4, 28, 193
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/io-intelligence.spec.ts", "TypeScript", 261, 0, 0, 0, 0, 0, 0, 6, 37, 304
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lite-llm.spec.ts", "TypeScript", 565, 0, 0, 0, 0, 0, 0, 47, 112, 724
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lm-studio-timeout.spec.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 3, 18, 92
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lmstudio-native-tools.spec.ts", "TypeScript", 329, 0, 0, 0, 0, 0, 0, 11, 38, 378
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/lmstudio.spec.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 2, 18, 168
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/minimax.spec.ts", "TypeScript", 355, 0, 0, 0, 0, 0, 0, 2, 51, 408
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/mistral.spec.ts", "TypeScript", 438, 0, 0, 0, 0, 0, 0, 9, 53, 500
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/moonshot.spec.ts", "TypeScript", 301, 0, 0, 0, 0, 0, 0, 12, 47, 360
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/native-ollama.spec.ts", "TypeScript", 478, 0, 0, 0, 0, 0, 0, 43, 88, 609
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-codex-native-tool-calls.spec.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 5, 11, 101
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-codex.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 2, 6, 27
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-native-tools.spec.ts", "TypeScript", 305, 0, 0, 0, 0, 0, 0, 19, 39, 363
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-native-usage.spec.ts", "TypeScript", 341, 0, 0, 0, 0, 0, 0, 13, 69, 423
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-native.spec.ts", "TypeScript", 1247, 0, 0, 0, 0, 0, 0, 114, 199, 1560
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-timeout.spec.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 3, 27, 145
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai-usage-tracking.spec.ts", "TypeScript", 199, 0, 0, 0, 0, 0, 0, 15, 25, 239
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openai.spec.ts", "TypeScript", 1107, 0, 0, 0, 0, 0, 0, 43, 133, 1283
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/openrouter.spec.ts", "TypeScript", 585, 0, 0, 0, 0, 0, 0, 22, 95, 702
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/qwen-code-native-tools.spec.ts", "TypeScript", 328, 0, 0, 0, 0, 0, 0, 9, 37, 374
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/requesty.spec.ts", "TypeScript", 336, 0, 0, 0, 0, 0, 0, 4, 46, 386
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/roo.spec.ts", "TypeScript", 899, 0, 0, 0, 0, 0, 0, 51, 103, 1053
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/sambanova.spec.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 1, 25, 153
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/unbound.spec.ts", "TypeScript", 477, 0, 0, 0, 0, 0, 0, 11, 62, 550
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/vercel-ai-gateway.spec.ts", "TypeScript", 508, 0, 0, 0, 0, 0, 0, 3, 77, 588
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/vertex.spec.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 19, 27, 142
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/vscode-lm.spec.ts", "TypeScript", 409, 0, 0, 0, 0, 0, 0, 14, 57, 480
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/xai.spec.ts", "TypeScript", 478, 0, 0, 0, 0, 0, 0, 33, 77, 588
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/zai.spec.ts", "TypeScript", 451, 0, 0, 0, 0, 0, 0, 7, 68, 526
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/anthropic-vertex.ts", "TypeScript", 229, 0, 0, 0, 0, 0, 0, 32, 38, 299
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/anthropic.ts", "TypeScript", 325, 0, 0, 0, 0, 0, 0, 37, 35, 397
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/base-openai-compatible-provider.ts", "TypeScript", 210, 0, 0, 0, 0, 0, 0, 9, 42, 261
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/base-provider.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 32, 19, 123
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/baseten.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/bedrock.ts", "TypeScript", 1159, 0, 0, 0, 0, 0, 0, 269, 150, 1578
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/cerebras.ts", "TypeScript", 276, 0, 0, 0, 0, 0, 0, 35, 52, 363
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/chutes.ts", "TypeScript", 173, 0, 0, 0, 0, 0, 0, 8, 29, 210
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/claude-code.ts", "TypeScript", 260, 0, 0, 0, 0, 0, 0, 66, 53, 379
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/constants.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/deepinfra.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 2, 27, 164
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/deepseek.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 16, 23, 151
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/doubao.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 2, 8, 82
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fake-ai.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 17, 14, 82
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/featherless.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 1, 15, 114
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/chutes.spec.ts", "TypeScript", 275, 0, 0, 0, 0, 0, 0, 12, 56, 343
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/fixtures/lmstudio-model-details.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/fixtures/ollama-model-details.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/fixtures/openrouter-model-endpoints.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/fixtures/openrouter-models.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/litellm.spec.ts", "TypeScript", 606, 0, 0, 0, 0, 0, 0, 9, 86, 701
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/lmstudio.test.ts", "TypeScript", 390, 0, 0, 0, 0, 0, 0, 7, 61, 458
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/modelCache.spec.ts", "TypeScript", 350, 0, 0, 0, 0, 0, 0, 40, 87, 477
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/modelEndpointCache.spec.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 0, 8, 25, 163
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/ollama.test.ts", "TypeScript", 336, 0, 0, 0, 0, 0, 0, 6, 61, 403
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/openrouter.spec.ts", "TypeScript", 379, 0, 0, 0, 0, 0, 0, 10, 47, 436
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/roo.spec.ts", "TypeScript", 889, 0, 0, 0, 0, 0, 0, 12, 120, 1021
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/vercel-ai-gateway.spec.ts", "TypeScript", 263, 0, 0, 0, 0, 0, 0, 6, 39, 308
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/__tests__/versionedSettings.spec.ts", "TypeScript", 233, 0, 0, 0, 0, 0, 0, 2, 47, 282
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/chutes.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 9, 20, 90
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/deepinfra.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 1, 14, 72
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/huggingface.ts", "TypeScript", 168, 0, 0, 0, 0, 0, 0, 46, 39, 253
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/io-intelligence.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 9, 28, 159
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/litellm.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 14, 8, 83
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/lmstudio.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 22, 23, 130
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/modelCache.ts", "TypeScript", 223, 0, 0, 0, 0, 0, 0, 89, 46, 358
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/modelEndpointCache.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 10, 21, 105
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/ollama.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 0, 5, 19, 124
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/openrouter.ts", "TypeScript", 184, 0, 0, 0, 0, 0, 0, 34, 52, 270
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/requesty.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 12, 56
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/roo.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 43, 32, 193
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/unbound.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 1, 11, 53
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/vercel-ai-gateway.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 17, 25, 118
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fetchers/versionedSettings.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 71, 15, 128
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/fireworks.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/gemini.ts", "TypeScript", 415, 0, 0, 0, 0, 0, 0, 59, 82, 556
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/groq.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/huggingface.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 5, 24, 138
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/io-intelligence.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 1, 8, 45
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/lite-llm.ts", "TypeScript", 227, 0, 0, 0, 0, 0, 0, 60, 42, 329
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/lm-studio.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 0, 8, 32, 231
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/minimax.ts", "TypeScript", 240, 0, 0, 0, 0, 0, 0, 27, 40, 307
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/mistral.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 0, 24, 31, 225
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/moonshot.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 3, 8, 52
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/native-ollama.ts", "TypeScript", 307, 0, 0, 0, 0, 0, 0, 30, 42, 379
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/openai-codex.ts", "TypeScript", 915, 0, 0, 0, 0, 0, 0, 76, 122, 1113
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/openai-native.ts", "TypeScript", 1079, 0, 0, 0, 0, 0, 0, 263, 136, 1478
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/openai.ts", "TypeScript", 445, 0, 0, 0, 0, 0, 0, 42, 78, 565
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/openrouter.ts", "TypeScript", 498, 0, 0, 0, 0, 0, 0, 104, 83, 685
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/qwen-code.ts", "TypeScript", 274, 0, 0, 0, 0, 0, 0, 15, 51, 340
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/requesty.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 0, 6, 35, 219
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/roo.ts", "TypeScript", 326, 0, 0, 0, 0, 0, 0, 52, 58, 436
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/router-provider.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 5, 16, 88
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/sambanova.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/unbound.ts", "TypeScript", 167, 0, 0, 0, 0, 0, 0, 5, 36, 208
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/__tests__/error-handler.spec.ts", "TypeScript", 204, 0, 0, 0, 0, 0, 0, 3, 77, 284
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/__tests__/image-generation.spec.ts", "TypeScript", 339, 0, 0, 0, 0, 0, 0, 7, 72, 418
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/__tests__/openai-error-handler.spec.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 3, 50, 187
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/__tests__/timeout-config.spec.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 5, 32, 103
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/error-handler.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 49, 13, 115
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/image-generation.ts", "TypeScript", 258, 0, 0, 0, 0, 0, 0, 24, 32, 314
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/openai-error-handler.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 13, 3, 20
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/router-tool-preferences.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 15, 4, 31
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/utils/timeout-config.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 10, 5, 27
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/vercel-ai-gateway.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 2, 20, 133
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/vertex.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 4, 7, 28
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/vscode-lm.ts", "TypeScript", 399, 0, 0, 0, 0, 0, 0, 123, 70, 592
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/xai.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 7, 26, 167
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/zai.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 16, 18, 112
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/anthropic-filter.spec.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 25, 145
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/bedrock-converse-format.spec.ts", "TypeScript", 301, 0, 0, 0, 0, 0, 0, 2, 42, 345
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/gemini-format.spec.ts", "TypeScript", 428, 0, 0, 0, 0, 0, 0, 2, 58, 488
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/image-cleaning.spec.ts", "TypeScript", 303, 0, 0, 0, 0, 0, 0, 9, 28, 340
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/minimax-format.spec.ts", "TypeScript", 284, 0, 0, 0, 0, 0, 0, 10, 43, 337
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/mistral-format.spec.ts", "TypeScript", 291, 0, 0, 0, 0, 0, 0, 15, 36, 342
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/transform/__tests__/model-params.spec.ts", "TypeScript", 829, 0, 0, 0, 0, 0, 0, 8, 153, 990
